Car,Year,KM,Fuel_type,Transmission,Price
MG HECTOR SHARP 2.0 DIESEL,2019,"49,559 km",Diesel,Manual,₹14.47 Lakh
MG HECTOR SMART HYBRID 1.5 PETROL,2021,"13,989 km",Petrol,Manual,₹16.59 Lakh
MG HECTOR SHARP 2.0 DIESEL DUAL TONE,2021,"1,27,904 km",Diesel,Manual,₹15.38 Lakh
MG ASTOR SHARP 1.3 TURBO AT,2022,"7,459 km",Petrol,Automatic,₹16.64 Lakh
MG HECTOR PLUS SHARP 1.5 PETROL TURBO HYBRID MT 6-STR,2022,"37,636 km",Petrol,Manual,₹17.14 Lakh
MG HECTOR PLUS SHARP 1.5 PETROL TURBO DCT 6-STR,2021,"31,138 km",Petrol,Automatic,₹17.47 Lakh
MG HECTOR SHARP 2.0 DIESEL DUAL TONE,2020,"63,301 km",Diesel,Manual,₹15.88 Lakh
MG HECTOR PLUS SELECT 2.0 DIESEL TURBO MT 7-STR,2022,"15,431 km",Diesel,Manual,₹21.22 Lakh
MG HECTOR SHARP 1.5 DCT PETROL,2022,"11,943 km",Petrol,Automatic,₹18.99 Lakh
MG HECTOR PLUS SHARP 1.5 PETROL TURBO HYBRID MT 6-STR,2020,"18,683 km",Petrol,Manual,₹16.44 Lakh
MG HECTOR PLUS SHARP 1.5 PETROL TURBO DCT 6-STR,2021,"14,065 km",Petrol,Automatic,₹19.28 Lakh
MG HECTOR PLUS SHARP 2.0 DIESEL TURBO MT 6-STR DUAL TONE,2020,"12,098 km",Diesel,Manual,₹19.10 Lakh
MG HECTOR SHARP 1.5 DCT PETROL,2019,"37,774 km",Petrol,Automatic,₹13.30 Lakh
MG HECTOR SHARP HYBRID 1.5 PETROL,2020,"39,915 km",Petrol,Manual,₹14.93 Lakh
MG HECTOR SHARP PRO 1.5 TURBO MT PETROL,2023,"15,940 km",Petrol,Manual,₹19.86 Lakh
MG HECTOR PLUS SHARP 1.5 PETROL TURBO CVT 6-STR,2021,"7,589 km",Petrol,Automatic,₹18.78 Lakh
